rating,label,pred,confidence,text
3,neutral,positive,0.99841535,Best of the Loctite products. I have used this product on many renovation projects and it’s the best! I’ll ordered 2 cases so I won’t run out. The best adhesive by far!
3,neutral,positive,0.9979966,What a great adhesive.. What a great adhesive. Use it on everything. Dries pretty quickly. Works on almost any surface.
3,neutral,positive,0.9979856,"Great shelving unit. I love this shelving unit. I was looking for something that would hold a 20 gallon fish tank. I placed the lower rack to a height the cats can sit on the floor & watch the fish. I have used the upper shelves for my cookbooks, Boyd Bear & Yankee Candle Snowmen collections. Easy to assemble."
1,negative,positive,0.99754995,These are great weather packs and neatly organized.. These are great weather packs and neatly organized.
5,positive,negative,0.99722785,One Star. It do not work?
3,neutral,positive,0.9971499,Great product. Great no spill product. I hate to clean up spilled gas .
3,neutral,positive,0.9969704,Great Value. Plenty of variation in the peg hooks that is in the assortment. Something for whatever you want to put on the pegboard.
1,negative,positive,0.9966654,Very easy to use. Great push cart. Very easy to use for a 5-foot tall person like me with a lower back problem.
3,neutral,positive,0.9964567,"Nice! Just the right size for inside use. Nice ! Just the right size for inside use. I didn't need a big shop vacation like my husband's in the garage, this one is perfect"
1,negative,positive,0.9963522,John russo. These gloves work very well I use them for everything they have not broken or let me down I am still using them I love these gloves
3,neutral,negative,0.9963205,Junk!. DON’T BUY!! All 20 of these diodes that I got from Amazon are NO good!
3,neutral,negative,0.996253,"Garbage don’t waste your money. This test is trash! I ordered two, both never showed any results! 4 tests and all were faulty! I’m pretty sure this is a scam, steer clear!"
3,neutral,negative,0.9961434,"Useless. Useless upgrade. The axis don’t sync, and it cants the arm. You won’t be able to tell unless you put a level on it. Stay away."
2,negative,neutral,0.99611145,"Works, but not precise. This does what it says, however its not accurate. When using it to fill 15ml into 100 bottles, I found that it was accurate up to 10, and then had to be adjusted. With each pump, the amount going into bottle increases... For that reason i took away three stars. Also on average it was off about .5ml every 10 pumps."
3,neutral,negative,0.99577713,Terrible. I absolutely hate this thing. It only works half the time and gets clogged. I spend more time fussing with it than I do using it
3,neutral,positive,0.99518365,Well worth it.. Fast delivery and just what I expected. I’m using this diamond wheel for one of the stages of rock polishing.
2,negative,neutral,0.9951703,"Not as described. I was very hopeful these tapes would be exactly what I needed, but they were not. They are described as being 1/2 inch (.5"") wide rolls, but as shown in the pictures I included, they are well below this - measuring a little under 3/8 inch, or between 8-9mm. Additionally, these tapes have a glossy finish, unlike many other highlighter tapes, which are usually matte and able to be written on. The tapes are also very light, again as seen in the photo provided. While a very subtle highlight might work for some, I was hoping for a brighter, more easy to spot color. Finally, while not tested long-term, I am not certain these can truly be considered removable. They proved difficult to peel after applying to standard paper, and seemed to be leaving some residue behind. It also seems that the tape color is part of the adhesive, rather than the plastic of the tape. Overall, these tapes are not horrible, which I why I gave three stars. You do get a large quantity of tape for the price. They could very well serve someone's needs well, if matched to the tape's characteristics. For my needs, they are too narrow, too pale and not writable. They are not as described in the product listing, so I am returning this product. Edit: These tapes are definitely NOT removable. (See fourth image.) After sitting on the paper for a couple hours, the tape tore the surface of the paper and removed the type when I attempted to peel it off. Deducted a star from my original review, because I find this to be quite problematic. Again, definitely not as described."
3,neutral,positive,0.99510586,"Mine was EXACTLY 4"" wide. Unble to soften with warm water to stretch like other shrink wraps.. Works as other shrink wraps. Clear and not brittle like others Mine was EXACTLY 4"" wide. Unble to soften with warm water to stretch like other shrink wraps."
3,neutral,negative,0.99481875,Junk. Just junk
3,neutral,positive,0.9945741,"Not for beginners, but the print quality is AMAZING. 3D printing is a hobby in and of itself, and resin printers are no different. I had a filament printer in the past, and it was fairly easy to use, but the visible layers always bothered me. Then I found out that resin printers dropped in price. I got one immediately. there is a bit more work to do on the prints: post print cleaning and curing. but it's well worth the extra couple of steps. the quality is AMAZING. there are a few more tools that you need, the only things you will NEED before you start printing is something to wash the prints in like a tub or something, isopropyl alcohol for the wash (other less expensive solutions exist - DO SOME RESEARCH), and something like a tray to cure the prints on in the sun (or you could get your own UV light - I made my own cure chamber using printed parts, a UV lamp and spinning turntable) There are PLENTY of videos on YouTube with directions, hints, warnings and the like - PLEASE watch a LOT of them, they really help. after that, you will be printing the BEST quality objects with little effort."
1,negative,positive,0.99440336,Reasonably priced gloves. Very pleased with the small gloves we purchased. They fit well and we felt we got a real deal for the price. Would recommend buying products from this vendor.
1,negative,positive,0.99428284,Great customer service. I had an issue with the first gun sent and customer service jumped right on it and sent me a new gun free of charge that works perfectly! Thanks NEWTRY would order again just for the ease of their services.
3,neutral,negative,0.99415034,"Do Not Buy This Piece of Junk - It Stops Working / See My Followup Reply. Do not buy this piece of junk. I read reviews saying it stopped working but I thought I'd get lucky. I was not lucky. And the seller ignored my report it's not working. They're crooks. The DAC stopped working after a week. At first it would work again after some hours or days, but then it stopped working at all. The Power and Locked lights would be lit up, but no audio signal would come out of the RCA connectors (to my amp) or from the headphone jack. This is with optical SPDIF connected from my TV. I sent a message to the seller that it stopped working, but the seller ignored it - no reply. ---------------- Edit 1/28/18: See my followup reply comment. The seller replied and sent me a replacement."
3,neutral,negative,0.9939335,"False advertising!. Please stop advertising this as a 4-pack. It is ONE box, with 4 pieces. I just paid $22 for one box. What a rip off. The box itself is great, does what it needs to do. Easy to assemble.. Literally the only thing that saved this from a 1 star review is the fact that its a good box. FALSEEEE advertising. Stop it. This is an insane price for ONE box."
3,neutral,positive,0.99390113,"Lighting during power outages,around pets & kids.. During the NorCal power outages, used them to light up walkways & inside. With pets & kids at home, this was much safer than candles everywhere."
3,neutral,positive,0.9936267,Will purchase again. These are perfect for our office popcorn machine!
3,neutral,negative,0.9930937,Refunded Money Updated Review. They saw my bad review and refunded my money. Forget this piece of crap. When I first received it it worked. When I needed it a month and a half later it does not work. I have reloaded the ap and rebooted the camera with no results. It is impossible to contact the seller.
3,neutral,positive,0.9930646,You'll buy more. This is a heavy and easy solution for your tools. Easy to install. You'll buy another set.
3,neutral,positive,0.9927411,Love it would definitely buy this again. Light and sounds great
3,neutral,negative,0.99260956,"Read. DO NOT BE FOOLED OR SUCKERED INTO THINKING THAT IF YOU SPEND $25.00 OR MORE THAT YOU WILL GET SAME DAY DELIVERY! MANY MANY TIMES I HAVE TRIED THIS, IT HAS NEVER WORKED! SAVE YOUR MONEY AND YOUR BLOOD PRESSURE."
3,neutral,positive,0.9919584,Great deal. Nice product and value.
3,neutral,positive,0.9919282,"Util. Útil, cumple la tarea"
3,neutral,negative,0.9917139,Nope. Dont buy this unless you have a thousand dollar vacuum pump chamber. Dried faster than whats said and just full of bubbles even after vacuuming. Waste of time and money for a mold.
3,neutral,positive,0.99134326,Glad it is contained in metal. Easy to handle and no mess.
3,neutral,positive,0.991339,Solid product.. Everything was as expected.
3,neutral,negative,0.9911556,Rips every single time. I have tried at least 6 of these and they all rip while in the oven.
3,neutral,positive,0.99087065,nice strap. works great
3,neutral,positive,0.99076086,These are great. Lightweight and soft will be ordering again
3,neutral,positive,0.99073714,Great for price. Exactly what would expect from price point.. Good for an emergency when your loupe light goes out.
3,neutral,positive,0.9907364,Apply to both sides. It's contact cement. Weldwood's been around forever. I'm using it to glue rubber gaskets back onto a car door.
3,neutral,positive,0.99058574,Great value and completed the job as needed. Sturdy and great value
4,positive,neutral,0.98980534,"Not easy to work with but colors like no one else.. Three and a half stars. I chose this because of the amazingly rich palette of colors offered by MeltInk. They have some brilliant and interesting colors that are really worth looking at. With that said, this is not the easiest material that I have worked with. It is stringy at higher temps and has poor layer adhesion at lower temps. For me, having these colors are worth a little effort and I have ordered more. Fortunately; MeltInk3d has some pretty awesome customer service. Omar was very helpful in answering my questions and in aiding me to getting successful prints. Not easy to work with but colors like no one else. -Update 2.9.2017- I have tweaked my settings more and have been getting some beautiful prints. I love this color and the rich finish this PLA has. It is still a little stringy at good printing temps but it is a fabulous color."
3,neutral,negative,0.98958683,Gritty. These are by far the worst tasting product I’ve ever bought. Gritty texture and almost no flavor.
3,neutral,negative,0.98939824,"Defective. Product ""does not"" glow in the dark."
2,negative,neutral,0.98882025,"Adhesive Strip IS NOT on the bag....it's on the flap (see photo). 2 stars for being a good poly sleeve, knocking of 3 stars for the misinformation on this listing regarding the adhesive strip. In the description it states: &#34;Crystal Clear Bag with Protective Closure (PC) (Adhesive Strip is on the bag instead of flap)&#34;. This is important for people who use these bags for fine art prints, or photos. You don't want to remove your paper and have it slide past the stick strip and ruin the contents. So your order the one that states the adhesive strip is on the bag. For whatever reason, the adhesive strip is on the flap. So if you are buying this product because of the location of the strip - don't risk it here, go directly to their site and order it. If you are just buying a sleeve and don't care about the stip - it's a perfectly fine product. Sadly I ordered this months ago and just ran out so I opened by new bag to find it's not what I ordered. Frustrating."
3,neutral,positive,0.988593,Works well. Works well. Good to have an extra cord. Very convenient. I love that the cord is much longer than the original cord that came with the unit.
3,neutral,negative,0.9884567,Don’t buy. Don’t come apart. Stuck together. Waste of money.
3,neutral,negative,0.9884524,Stopped working. Used once then it stopped working
