rating,label_name,predicted,confidence,text
5,strongly_positive,neutral,0.9742055,it does the job.. 3 stars for water resistance because I don't know if it would be water resistance.
3,neutral,strongly_negative,0.9600853,Don’t buy !!!!!! Waste of money!!!!!!Stopped working after 1 day!. Used to tune car amplifier gain settings Worked for 1 day Next day would not power on check power supply output good
3,neutral,strongly_negative,0.943999,Nada. Muy pequeño
3,neutral,strongly_negative,0.9321791,The instructions are AWFUL. WORST INSTRUCTIONS and pictures I have ever seen.. [[VIDEOID:524ca10e28edfc3d3f23b13ced866864]]
4,positive,strongly_negative,0.9756119,One Star. Pretty good
3,neutral,strongly_negative,0.9684021,"Don't buy, to cheat is garbage. This piece of garbage, not good first time i use broke in pieces, don't buy, the bad thing i can't return it."
2,negative,strongly_positive,0.9070768,Love this cart. Love this cart. It is a God send since I have a long walk from my car to my apartment.
1,strongly_negative,strongly_positive,0.96654576,I hate it. Best I've ever had!
3,neutral,strongly_negative,0.9191615,did not work. did the soldering and did not work. not even one page of explanation.
2,negative,strongly_positive,0.9023226,"It's great to see what's on the other side... This endoscope saved me from tearing my over head awning over the porch to pieces, to replace a post. The post looked like it went thru the ceiling, but after drilling a 3/8"" hole next to the post and sliding the camera lens in for a look around. I could see the post did not fit thru the ceiling it was mounted to the ceiling. This one job paid for this camera. The time and materials I saved. Excellent! Just have a little patience when trying to focus on what your want to see with the stiff wire. When you do get it focus the picture is clear and crisp with great colored detail. For the the amount it cost, everyone should have one."
4,positive,negative,0.90291953,"Great price, poor quality. I used 14 of these to control 40 20A circuits on one timer. 5 stars for the price/value and 2 stars for the quality. these have real fragile plastic covers and we had a few damaged in shipping, one was shattered and unusable. Order 10% extra if you need to do a bunch. Out of the box all of the contacts have 1/4” blades for quick connectors, which I only trusted to carry the small current of the control circuit. I snapped them off of the load and line terminals by twisting them in the flat jaws of my lineman’s pliers, then loosened the screws, then pried up the top brass plate on each side of each screw with a 1/8” wide flathead screwdriver to give me enough room to fit stranded 12G THHN wire. The load/line screws can be tightened with a 5/16” nut driver bit or a Phillips#3. Don’t use an impact driver or you can easily over tighten and strip the threads the screws tighten onto. Use a regular old drill/driver with the torque setting on 15 or whatever is high on yours, or use a screwdriver. These were a great inexpensive option for lighting control in our flowering room of our cannabis grow. If I was on the job I’d never use this cheap crap, any inspector would laugh at and fail me, but for our growing hobby it saved a couple grand over UL listed lighting controls. If we start making any money and hire employees, I’ll re-do them with UL listed parts for liability of course, but they’re safe enough for me and my buddies for now."
4,positive,strongly_negative,0.98123485,One Star. The metal part broke but they sent me a new free replacement. Hopefully this one is better
